Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
0SX0NXGRQKZ2J,Swisher,,0.99,Fixed,,1,0.00,,87766544,,,,No,No
A60KMCQREFRMP,Swisher Reg,,0.99,Fixed,,1,0.00,025900227265,,,,,No,No
,Regular Vape 10,,20.00,Fixed,,1,,,02HD8FGZ23608364,,,,,
,Regular  2,,14.99,Fixed,,1,,,600161665362,,,,,
,La Luna Roja,,24.99,Fixed,,1,,,032733702517,,,,,
,Shangri La La 20cap,,11.99,Fixed,,1,,,781584830589,,,,,
,Red Bali 20cap,,11.99,Fixed,,1,,,781584830619,,,,,
,Texas Red 50cap,,24.99,Fixed,,1,,,600161665430,,,,,
,Green Means Go 50cap,,24.99,Fixed,,1,,,600161665058,,,,,
,Great White 50cap,,24.99,Fixed,,1,,,600161665447,,,,,
,Shangri La La 1oz Tea Leaf,,11.99,Fixed,,1,,,600161665300,,,,,
,Green Means Go 1oz Tea Leaf,,11.99,Fixed,,1,,,600161665027,,,,,
,Red Bali 1oz Tea Leaf,,11.99,Fixed,,1,,,600161665294,,,,,
,1836 Shangrila Lala 4oz,,25.00,Fixed,,1,,,600161665492,,,,,
,Green Means Go 40z,,24.99,Fixed,,1,,,600161665041,,,,,
,Texas Red 40z,,24.99,Fixed,,1,,,600161665089,,,,,
,Shangri La La 50ct,,24.99,Fixed,,1,,,600161665133,,,,,
,Peppermint Extract Shot,,14.99,Fixed,,1,,,600161665423,,,,,
,Green Means Go 20ct,,11.99,Fixed,,1,,,781584830541,,,,,
,Texas Red 20ct,,11.99,Fixed,,1,,,781584830558,,,,,
,Regular 3,,1.99,Fixed,,1,,,031700055687,,,,,
,Watermelon Grape,,0.99,Fixed,,1,,,818892019389,,,,,
,Green Sweet,,0.99,Fixed,,1,,,842426150385,,,,,
,Sweet Delicious,,0.99,Fixed,,1,,,818892013486,,,,,
,Diamond,,0.99,Fixed,,1,,,842426151566,,,,,
,Blueberry Pineapple,,0.99,Fixed,,1,,,818892019235,,,,,
,Kiwi Berry,,0.99,Fixed,,1,,,818892019358,,,,,
,Napa Grape,,0.99,Fixed,,1,,,818892013493,,,,,
,White Grape,,0.99,Fixed,,1,,,818892018511,,,,,
,Mango,,0.99,Fixed,,1,,,818892013516,,,,,
,Raspberry Tea 5ks,,0.99,Fixed,,1,,,842426144681,,,,,
,Platinum 5ks,,0.99,Fixed,,1,,,842426143936,,,,,
,French Vanilla,,0.99,Fixed,,1,,,818892013523,,,,,
,EZ Splitz,,0.99,Fixed,,1,,,8748630049076,,,,,
,Lighter Leash,,2.99,Fixed,,1,,,854672000123,,,,,
,Fly Lid,,2.99,Fixed,,1,,,658890410500,,,,,
,Odor Trap Bags,,6.99,Fixed,,1,,,813276024560,,,,,
,Fly Flags,,18.99,Fixed,,1,,,812624024825,,,,,
,Tile,,29.99,Fixed,,1,,,819039021128,,,,,
